address,allocation
0x5b93ff82faaf241c15997ea3975419dddd8362c5,"2,915"
0x87e32d4631d728d6ad7ebcd133b11febc9da9b93,"2,677"
0x2e63e1c7fdf4a69edbd0a6045180d02faf241d4f,"2,677"
0x51286013d10cf5781837a72a2f3959a93b3f9005,"2,415"
0xbe40dcadb6bf4de1c7810eca3504e5f3bea9cf35,"2,201"
0xc05ed3743d87bee34b76792d28347478015d7754,"2,177"
0x50423f8fbbd7cf5499b9b70bfc191a7bd01a9d2d,"2,177"
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,"2,177"
0x89c7297c08a85387be6045074aaa67c01efa985e,"2,177"
0x31b4c292b4639a32a0aca72b0451499b464c58cb,"1,999"
0x37bd0ae78dd5cd338d6e80b5c87b6f8e38121297,"1,999"
0x10d6d2e343281d388291a3e02f3293aaeda67178,"1,999"
0x662d5d79849113a5403af776210307a7c82a5267,"1,963"
0xfab9a3d37999e12252b47468d2ffd4be15936012,"1,939"
0x85c0c09570c955f6e07522e9ad6041716cbbb7fe,"1,939"
0x5893b294a6a4cc220c009ad81607dca59650d57c,"1,939"
0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c,"1,761"
0xd3e9d60e4e4de615124d5239219f32946d10151d,"1,761"
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,"1,725"
0xf925fdaea552d36a5291335941ab7a046f960a80,"1,725"
0x7e30c4cffdbe6df08cd258ee723d1fcd8d234b4f,"1,701"
0x3708045c19c4d0eab69289f8bc10d4a1ff4edc6a,"1,701"
0x49ad1457f299da4303789a28dd730e315752378d,"1,666"
0x5bb3e1774923b75ecb804e2559149bbd2a39a414,"1,523"
0xa8672c3cef0dce305102f20ac820c921c91ff7e2,"1,523"
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,"1,523"
0x5a3ca3fad3785e634fde51bd782057d9abb82bce,"1,487"
0xfacef700458d4fc9746f7f3e0d37b462711ff09e,"1,463"
0x16df45560dcbdc85825d2015bbd2f03fc5676b71,"1,463"
0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017,"1,463"
0x363f725beb64d679f04213774f27cae4689b292c,"1,463"
0xddaac482530e2d5c31c19727c6721e192d539666,"1,463"
0x300e8a7f64be5a9cfb9e92749def8111b856a7ec,"1,463"
0x5b32bed0fd73008e6187906e1d743ff0e4273948,"1,463"
0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d,"1,463"
0x6fbd8a6cbd4c628b4c7bedd9efabfa78d7719dd5,"1,463"
0x54021e58af1756dc70ce7034d7636de2d2f1fa74,"1,428"
0xc4798b79d22630cee83b4ecb0fd98cd5ff0fbb62,"1,249"
0x565b93a15d38acd79c120b15432d21e21ed274d6,"1,249"
0x93730ce5ac9de1db9f3fbb73bf522a690629ccec,"1,249"
0xd2af803ad747ea12acf5ae468056703ae48785b5,"1,225"
0x30602250c5f1fcba5407e99b1dfaab992ea4ffd2,"1,225"
0x1c5eb68630ccd90c3152fb9dee3a1c2a7201631d,"1,225"
0xc0f030eac8b588817f8da16b9a2cdccc6451b25c,"1,225"
0xfc16b6fca8142dc58c8f2b61e40ee13960d3f0c6,"1,225"
0xb3589bbd2781aad79cc2727fd5abb762b522a7a2,"1,225"
0xc576a1f2fe5c138cee582439ce87d6c9af2d5861,"1,225"
0x442dccee68425828c106a3662014b4f131e3bd9b,"1,225"
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,"1,225"
0x791fad8329a0a56e2ce98380d6d6fda3302337da,"1,225"
0xc155506590ad13c69c91e0807ece204a2e696de7,"1,225"
0xc25bd7de791348f1f654b6498229ea3a785b6576,"1,225"
0x33bef903d69672a04ef6004176513a6e060ffdaa,"1,225"
0xeb7d0aeedcd4fe4e452275775d558023da1d12cf,"1,225"
0xa709139a1bb29d9fef3a80508f3bc174cc4e32cc,"1,225"
0xfed8eac5c0a82c3291977fb3bcf1ad52e57b1b9b,"1,225"
0xec4877199639200f241f99669a76ef282f91d120,"1,225"
0xfb60bbae6896fc36b1db29e1a0dacaf21aa96fa5,"1,190"
0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,"1,190"
0x5814b08a1772f1321243a575c8a0556b954d4212,"1,190"
0x86b0e9e05f0295adb39799a402d2992d10439454,"1,190"
0xd069efa415ef5113598b36619305dbf88dcd363e,"1,190"
0x0467997c0ef80f54763159ce487ab014dc2fe0e9,"1,190"
0x73fa9df99faaa8d110c5afd917355eba0f993362,"1,190"
0x2b2b0d736d26458dd2af9395f30fe57b6b18ac6e,"1,190"
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,"1,047"
0xb4c8177a1864240f81bf4897e7c08839036d0d69,"1,047"
0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,"1,011"
0xed5f007574c4a00d13f360499614c54d0c89d77d,"1,011"
0x3942ae3782fbd658cc19a8db602d937baf7cb57a,"1,011"
0x85b92faa0f0462cd740260525065f1546e03eea7,"1,011"
0xb26b5a7c4b35efa73e2343a086af55b459cebab0,"1,011"
0x8f942eced007bd3976927b7958b50df126feecb5,"1,011"
0xc61641c59f5c459da94e330535a95df4d5faceae,"1,011"
0xb8dc9d4bbeb6705fdba1f89458a4bc2a2066a6c9,987
0x9e8f2bccfc4cd4caca32797012d14571827af192,987
0x8df676ba0298b733c2311cffa234de58849eb678,987
0x2c123fc5c27888571cd525e8ae9b0c5ff848386d,987
0xbcc224605383cb72dc603b1e3b4f4678b371c4dc,987
0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,987
0x9b814233894cd227f561b78cc65891aa55c62ad2,987
0x5c7c0fdc44b44673f070535897d1208104a28950,987
0xcfb586d08633fc36953be8083b63a7d96d50265b,987
0x03273be1222eb9ed04ee36519199230be120dad5,987
0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041,987
0x1df428833f2c9fb1ef098754e5d710432450d706,987
0x49a77c5a7e2749a09f49a34b993da8dd45b4fe02,987
0x2071ee7e947ea0d6bf1eab41605f8271808d9325,987
0x7cb08c8918c5af4e7429ddc624c7bf40487474e5,987
0x3a70e8c00f3bcf3eb845b6b6928aba92b465c183,987
0x4ba245c3d3ee8509e7470fa86ef921ad4a8fcd58,987
0x1e399ccadc4bd5b58abda5e7ff7ea700f6697425,987
0x95b55ff68eb3470a42591cce2b8ca5733ea8a903,987
0x36cf392542682afd63daae066ece38a40c6f2c59,987
0x29185eb8cfd22aa719529217bfbade61677e0ad2,987
0x294e2ce5d959be4a8fe4b54f155ed375399297b9,987
0x406192a1e7854438af2bc927bdbceb9f197d9e1c,987
0xee5c256721abe58af6f582c0efd6774dd2765038,987
0xe96a1b303a1eb8d04fb973eb2b291b8d591c8f72,952
0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,952
0xa1c78ed146a8693a8cf3d29385bc54cd3f145b4a,952
0x1944517aa5c7d02731a7efaa1023d5c998996461,952
0x3e9aa9a0e711b8a924b1a7ba88a413efdaffdbe8,952
0xf52393e120f918ffba50410b90a29b1f8250c879,952
0xe13d4abee4b304b67c52a56871141cad1b833aa7,952
0x6130a038b17f7ee8d28abd54415f2066c0e81b0b,952
0xa642564ca13603bd425daa5419f456df25e57b78,952
0xfb9e29e16d467017e1cdd0dbbd35f985431bb69e,952
0x544e2df1ead3cdde014669f382d5bd0535567158,952
0x1c0275e8a5e120a230f07b91f706fda323c7814a,809
0x135c21b2da426760718e39da954974c4572ae9f6,809
0xd2aff66959ee0e6f92ee02d741071ddb5084bebb,773
0xe7b8897d824c78e5c1076023508c43eace3d2afc,773
0xcab532dd7a22784afbfed080705f377e20b647e8,773
0x1e341aa44c293d95d13d778492d417d1be4e63d5,773
0x6bf97f2534be2242ddb3a29bfb24d498212dcded,773
0x95abda53bc5e9fbbdce34603614018d32ced219e,773
0x0f9b1b68f848cb65f532bc12825357201726d3d2,773
0x885f12b525218ca9377755f9a534ce230ac5d2d8,773
0x4183d4275f8ca80cb7088fa8ee7b85d44d1c1b38,773
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,773
0xd3432463cf264f4def759ca6f8843d47dd00b2fd,773
0x18b56f705e755879fa46585d5881f92bef35a08d,750
0xd5b0e02e4cecb59ead4b7b29ee1148f7de774194,750
0xba178ae12daa78de6592847cf8bb26508ae5d5db,750
0xf91569595bcdaf780c3f1662f204e157949af8b2,750
0x5c2b25c2fd3bd98f6ed0628238077f84916ea74a,750
0x5e79a38034862733788eefdc3ffedb094444c482,750
0x63b1335b3411c0a010b1029a71eeb21a7d4a05fc,750
0xb84848ce4a46a44f06864b5decc2fe07b842cf30,750
0x78ae7490d39939553d5f14aabf970cb8c4c3b81c,750
0xc8c4ab6e1e7dcc4e2957244baba86ed937dc0ee8,750
0x4ef1a210a74fdfd9cc7507924e918b0f5c392b24,750
0x592c6c12c6cf71722880b9263e93b35ff7952cc2,750
0x0a3afcf9c5595b577e8bf5fb82a5f94c7c06edd8,750
0x235f32bb3920bf99e9fa813a37fcebadaf9cdf39,750
0xfba2c2bbf977eda19ad819bb46787f4c91d1ffad,750
0xeca3a16cc7eaa73d451155527cd4e49162033b2c,750
0xb294ce56b0b12d0f32d61dca52bd39dae74e1156,750
0xe7079eec020ddfc3f1c0abe1d946c55e6ed30eb3,750
